"bcr_number","bcr_name","bcr_description"
1,"Aleutian/Bering Sea Islands","The Aleutian Islands extend 1,100 miles westward from Alaska, plus Bering Sea islands including the Pribilofs. This volcanic region has a maritime climate with constant wind. Vegetation includes dwarf shrubs, meadows, and marshes. Sea ice affects the Bering Sea but not the Aleutians. Seabirds dominate, with several species breeding only here, including Red-legged Kittiwake and Least Auklet. The region hosts the only endemic Alaskan bird, McKay's Bunting. Breeding diversity of songbirds and shorebirds is low due to harsh conditions."
2,"Western Alaska","This region covers western Alaska's coastal plain and Alaska Peninsula Mountains. Wetlands, ponds, and rivers dominate the landscape with continuous permafrost except in southern areas. The Yukon and Kuskokwim coastal plains support high densities of breeding waterfowl and shorebirds. Alaska Peninsula coasts host millions of migrating shorebirds and concentrations of wintering sea ducks like Steller's Eider. Tall shrub habitats along rivers support diverse songbirds. Sea cliffs provide nesting sites for seabirds including kittiwakes and murres."
3,"Arctic Plains and Mountains","This region spans the northern edge of North America, featuring coastal tundra and Arctic mountains. Thick permafrost creates a landscape where 20-50% is surface water, forming polygonal ponds and ridges. The ocean freezes 9-10 months yearly. Waterfowl and shorebirds dominate the bird community due to abundant wetlands. Common breeding species include Northern Pintail, King Eider, American Golden-Plover, and Lapland Longspur. Old World species like Arctic Warbler reach the region from the west. Few birds winter here due to extreme conditions."
4,"Northwestern Interior Forest","This region features diverse forest habitats dominated by white spruce, black spruce, poplars, and paper birch, created by elevation, permafrost, water, fire, and terrain variations. Tall shrubs occur along rivers, with bogs common in lowlands and alpine scrub in mountains. The area supports breeding ducks, swans, and shorebirds in wetlands. Forests host diverse songbirds including warblers, thrushes, and sparrows. Coastal areas provide important stopover sites for migrating shorebirds. High elevations support species like Horned Lark and American Pipit."
5,"Northern Pacific Rainforest","This coastal rainforest stretches from Alaska to northern California, characterized by heavy precipitation and mild temperatures. Dominated by western hemlock, Sitka spruce, and other conifers, with redwoods in the south. Priority forest birds include Spotted Owl, Marbled Murrelet, and Hermit Warbler. Coastal wetlands provide critical habitat for waterfowl and migrating shorebirds, especially Western Sandpipers. Offshore islands support major seabird colonies including Ancient Murrelet and Tufted Puffin. Nearshore waters host breeding and wintering sea ducks."
6,"Boreal Taiga Plains","Dominated by the Mackenzie River system in the north and boreal transition zone in the south. Northern areas have open coniferous forests with black spruce, while southern areas support mixed-wood forests. Wetlands cover 25-50% of the region, with seasonal waterlogging due to permafrost. Important birds include Whooping Crane, American White Pelican, and Sharp-tailed Grouse. The Mackenzie Valley forms one of North America's most important migratory corridors for waterfowl breeding along the Arctic Coast."
7,"Taiga Shield and Hudson Plains","Includes the world's largest wetland area - the Hudson Plains - extending onto the Canadian Shield. The subarctic climate features short, cool summers and very cold winters. Hudson Plains support dense sedge-moss-lichen covers with scattered black spruce and tamarack. The Shield has mixed-wood forests in uplands and stunted conifers approaching treeline. Thousands of lakes and wetlands provide breeding habitat for waterfowl. Coasts provide critical shorebird staging areas during fall migration, with millions of birds passing through."
8,"Boreal Softwood Shield","This U-shaped region is over 80% forested with closed conifer stands of white and black spruce, balsam fir, and tamarack. Southern areas include more broadleaf trees and pines. The landscape features rolling uplands with associated wetlands and numerous small-medium lakes. Peatlands are common in wetland areas. Representative birds include American Black Duck, Yellow Rail, Black-backed Woodpecker, and various warblers including Palm, Bay-breasted, and Tennessee. Eastern coastlines support year-round seabird populations."
9,"Great Basin","This large, dry region includes the Northern Basin and Range, Columbia Plateau, and eastern Cascade slopes, lying in the rain shadow of western mountains. Grasslands, sagebrush, and desert shrubs dominate lowlands, with pinyon-juniper and pine forests at higher elevations. Important wetlands support breeding American Avocet, Black-necked Stilt, and migrating shorebirds. Great Salt Lake hosts large waterfowl numbers. Sage Grouse and associated species characterize the sagebrush habitats, while pine forests support White-headed Woodpecker and Flammulated Owl."
10,"Northern Rockies","Encompasses the Northern Rocky Mountains and intermontane basins in the US and Canada. Coniferous forests dominate, varying by elevation from ponderosa pine to alpine fir. Northern areas feature western larch and hemlock. Priority forest birds include Flammulated Owl, Lewis's Woodpecker, and Townsend's Warbler. High-elevation lakes support Barrow's Goldeneye and Trumpeter Swan. Lower valleys contain sagebrush habitat supporting Sage Grouse and Ferruginous Hawk, though much has been degraded by conversion and invasive plants."
11,"Prairie Potholes","This glaciated mixed-grass and tallgrass prairie region is North America's most important waterfowl production area, despite extensive wetland drainage and grassland conversion. Breeding duck densities can exceed 100 pairs per square mile in favorable years. The region provides core breeding range for most dabbling ducks and supports over 200 other bird species. Priority grassland birds include Baird's Sparrow, Sprague's Pipit, and Chestnut-collared Longspur. Continued habitat degradation and fragmentation threaten future suitability for all these species."
12,"Boreal Hardwood Transition","Characterized by coniferous and northern hardwood forests, nutrient-poor soils, and numerous lakes and bogs. All of the world's Kirtland's Warblers breed here, along with most Golden-winged and Connecticut Warblers. Other important forest birds include Black-billed Cuckoo and Rose-breasted Grosbeak. Great Lakes coastal areas support breeding and migrating waterbirds, with Yellow Rail among important wetland species. Islands host large tern colonies. Though breeding ducks are sparse, stable water conditions allow consistent reproductive success."
13,"Lower Great Lakes/St. Lawrence Plain","Covers low-lying areas originally forested with oak-hickory, northern hardwood, and mixed-coniferous forests, though little remains due to agriculture. Cerulean Warbler is the highest forest priority. Agricultural areas now provide the Northeast's largest grassland habitat for species like Henslow's Sparrow and Bobolink. The region is extremely important for stopover migrants, with some of eastern North America's largest concentrations of migrant birds. Much migration occurs along threatened lakeshore habitats."
