bcr_number,photographer,license,photo_url
2,Brian Hoffman,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=5552852201&secret=16fc1381e5&size=c&source=photoPageEngagement
4,MikoFox,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=34280539230&secret=6c0c9a76a8&size=c&source=photoPageEngagement
5,Rick Obst,CC BY-NC-ND 2.0,https://www.flickr.com/photo_download.gne?id=13940663135&secret=b79e1f19b7&size=c&source=photoPageEngagement
6,MikoFox,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=51237778583&secret=e07ecdb29c&size=c&source=photoPageEngagement
8,Plonq,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=40693887952&secret=59368d1a8a&size=c&source=photoPageEngagement
9,Todd Petit,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=52458935818&secret=260536efcf&size=c&source=photoPageEngagement
10,Ken Lund,CC BY-SA 2.0,https://www.flickr.com/photo_download.gne?id=65959669&secret=8ed16c1bf5&size=c&source=photoPageEngagement
11,USFWS Mountain-Prairie,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=12642374104&secret=57b83b74e8&size=c&source=photoPageEngagement
12,MikoFox,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=53071346587&secret=d08f00402f&size=c&source=photoPageEngagement
13,Jim Smith,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=22844429602&secret=98a6302a8a&size=c&source=photoPageEngagement
14,MikoFox,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=52813588776&secret=36b78e4bb8&size=c&source=photoPageEngagement
15,George Lamson,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=8067312314&secret=8377d2a208&size=c&source=photoPageEngagement
16,Matthew Dillon,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=51233561727&secret=de19b5e4c1&size=c&source=photoPageEngagement
17,Diana Robinson,CC BY-NC-ND 2.0,https://www.flickr.com/photo_download.gne?id=35372497375&secret=e4817e30d5&size=c&source=photoPageEngagement
18,J. N. Stuart,CC BY-NC-ND 2.0,https://www.flickr.com/photo_download.gne?id=2441505887&secret=3a8d0dcaeb&size=c&source=photoPageEngagement
19,Jerry Lewis,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=3059224705&secret=924e8aa833&size=c&source=photoPageEngagement
20,Joseph,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=50700856631&secret=9f2b48003f&size=c&source=photoPageEngagement
21,John Lowe,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=2551474121&secret=07aba38353&size=c&source=photoPageEngagement
22,"Eden, Janine and Jim",CC BY 2.0,https://www.flickr.com/photo_download.gne?id=36624829640&secret=7d79bd3b5c&size=c&source=photoPageEngagement
23,Aaron Volkening,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=54408617730&secret=2758b2c682&size=c&source=photoPageEngagement
24,Brad Sims,CC BY-NC-ND 2.0,https://www.flickr.com/photo_download.gne?id=53214473558&secret=f937872dfa&size=c&source=photoPageEngagement
25,Granger Meador,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=5104119392&secret=b55732bccc&size=c&source=photoPageEngagement
26,U.S. Fish and Wildlife Service Southeast Region,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=5758554905&secret=f79d685440&size=c&source=photoPageEngagement
27,TimothyJ,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=13893601665&secret=97d6fda077&size=c&source=photoPageEngagement
28,Don Sniegowski,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=48847226636&secret=ca8269ebeb&size=c&source=photoPageEngagement
29,Todd Martin,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=393637491&secret=8ca6c952c7&size=c&source=photoPageEngagement
30,Chesapeake Bay Program,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=32144179390&secret=d999456a4b&size=c&source=photoPageEngagement
31,"Len ""Doc"" Radin",CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=8561279364&secret=0af39138cf&size=c&source=photoPageEngagement
32,U.S. Fish and Wildlife Service Headquarters,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=7161010360&secret=6aba5c41aa&size=c&source=photoPageEngagement
33,arbyreed,CC BY-NC-SA 2.0,https://www.flickr.com/photo_download.gne?id=26942685071&secret=856e493633&size=c&source=photoPageEngagement
34,Jose Aguilar,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=17491627931&secret=a5b5ba09da&size=c&source=photoPageEngagement
35,- Adam Reeder -,CC BY-NC 2.0,https://www.flickr.com/photo_download.gne?id=51624025994&secret=20c7beb941&size=c&source=photoPageEngagement
36,Enrique Vera,CC BY 2.0,https://www.flickr.com/photo_download.gne?id=14996996010&secret=20e52a4e6f&size=c&source=photoPageEngagement
37,Corey Leopold,CC BY-NC 4.0,https://www.flickr.com/photo_download.gne?id=54820271270&secret=47b19b598f&size=c&source=photoPageEngagement
